identifier,Model Specific Name,Description,CRM Path,used by
builtwork_58_production_date_-_earliest,Construction Date - Earliest,This field is used to record the earliest possible date for the production of the documented physical object.,--> P108i --> E12[30] --> P4 --> E52[31] --> P82a --> xsd:dateTime,Swiss Art Research Infrastructure
builtwork_59_production_date_-_latest,Construction Date - Latest,This field is used to record the latest possible date for the production of the documented physical object.,--> P108i --> E12[30] --> P4 --> E52[31] --> P82b --> xsd:dateTime,Swiss Art Research Infrastructure
builtwork_60_production_location,Construction Location,This field is used to record the place of the production of the documented physical object.,--> P108i --> E12[30] --> P7 --> E53,Swiss Art Research Infrastructure
builtwork_61_production_period,Construction Period,This field is used to record the historical period in which the production of the documented physical object occurred.,--> P108i --> E12[30] --> P10 --> E4,Swiss Art Research Infrastructure
builtwork_62_destruction_date_-_earliest,Destruction Date - Earliest,This field is used to record the earliest possible date for the destruction of the documented physical object.,--> P13i --> E6[32] --> P4 --> E52[33] --> P82a --> xsd:dateTime,Swiss Art Research Infrastructure
builtwork_63_destruction_date_-_latest,Destruction Date - Latest,This field is used to record the latest possible date for the destruction of the documented physical object.,--> P13i --> E6[32] --> P4 --> E52[33] --> P82b --> xsd:dateTime,Swiss Art Research Infrastructure
builtwork_64_destruction_location,Destruction Location,This field is used to record the place of the destruction of the documented physical object.,--> P13i --> E6[32] --> P7 --> E53,Swiss Art Research Infrastructure
builtwork_65_destruction_period,Destruction period,This field is used to record the historical period in which the destruction of the documented physical object occurred.,--> P13i --> E6[32] --> P10 --> E4,Swiss Art Research Infrastructure
