identifier,Model Specific Name,Description,CRM Path,used by
builtwork_90_material,Material,This field is used to record the material of which the documented physical object consists.,--> P45 --> E57,Swiss Art Research Infrastructure
builtwork_91_technique,Technique,This field is used to record the technique used in the production of the documented object.,"--> P108i --> E12 --> P32 --> E55<br><br>--> P108i → E12 --> P2 --> E55 ""Construction""",Swiss Art Research Infrastructure
builtwork_86_dimension_type,Dimension Type,This field is used to record the type of measurement that the dimension of the documented object represents.,--> P39i --> E16 --> P40 --> E54 --> P2 --> E55,Swiss Art Research Infrastructure
builtwork_87_dimension_value,Dimension Value,This field is used to record the value of the measured dimension of the documented object.,--> P39i --> E16 --> P40 --> E54 --> P90 --> xsd:decimal,Swiss Art Research Infrastructure
builtwork_88_dimension_unit,Dimension Unit,This field is used to record the unit of the measured dimension of the documented object.,--> P39i --> E16 --> P40 --> E54 --> P91 --> E58,Swiss Art Research Infrastructure
builtwork_89_dimension_taker,Dimension Taker,This field is used to record the actor who undertook the measurement producing the dimension of the documented object.,--> P39i --> E16 --> P14 --> E39,Swiss Art Research Infrastructure
