identifier,Model Specific Name,Description,CRM Path,used by
builtwork_167_designation_status_number,Designation Status Number,This field is used to record the identifier assigned to the designation status attributed to the documented instance of physical object.,--> P41i --> E17[23] --> P141 --> E42,Swiss Art Research Infrastructure
builtwork_168_designation_status_attributor,Designation Status Attributor,This field is used to record the attributor of the designation status of the documented instance of physical object.,--> P41i --> E17[23] --> P14 --> E39,Swiss Art Research Infrastructure
builtwork_169_designation_status_type,Designation Status Type,This field is used to record the type of designation status which applies to the documented instance of physical object.,"--> P41i --> E17[23] --> P42 --> E55 ""Designation Status""",Swiss Art Research Infrastructure
builtwork_170_designation_status_description,Designation Status Description,This field is used to record a description in free text of the designation status which holds over the documented instance of physical object.,--> P41i --> E17[23] --> P129i --> E73,Swiss Art Research Infrastructure
