identifier,Model Specific Name,Model Specific Description,CRM Path,used by
artwork_90_material,Material,This field is used to indicate the material of which the documented instance of artwork consists.,--> P45 --> E57,Swiss Art Research Infrastructure
artwork_91_technique,Technique,This field is used to indicate the technique used in the construction of the documented instance of artwork.,"--> P108i --> E12 --> P32 --> E55<br><br>--> P108i → E12 --> P2 --> E55 ""Construction""",Swiss Art Research Infrastructure
artwork_86_dimension_type,Dimension Type,This field is used to indicate the type of measurement that the dimension of the documented instance of artwork is.,--> P39i --> E16 --> P40 --> E54 --> P2 --> E55,Swiss Art Research Infrastructure
artwork_87_dimension_value,Dimension Value,This field is used to indicate the value of the measurement of the documented instance of artwork.,--> P39i --> E16 --> P40 --> E54 --> P90 --> xsd:decimal,Swiss Art Research Infrastructure
artwork_88_dimension_unit,Dimension Unit,This field is used to indicate the unit used to express the value of the measurement of the documented instance of artwork.,--> P39i --> E16 --> P40 --> E54 --> P91 --> E58,Swiss Art Research Infrastructure
artwork_89_dimension_taker,Dimension Taker,This field is used to indicate the actor who undertook the measurement of the documented instance of built work.,--> P39i --> E16 --> P14 --> E39,Swiss Art Research Infrastructure
