identifier,Model Specific Name,Description,CRM Path,used by
digital object_66_creation_date_-_early,Creation Date - Early,This field is used to record the earliest possible date for the creation of the documented digital object.,"--> L11i --> D7[33] --> P4 --> E52[34] --> P81a --> xsd:dateTime<br><br>--> L11i --> D7[33] --> P2 --> E55 ""Creation""",Swiss Art Research Infrastructure
digital object_67_creation_date_-_late,Creation Date - Late,This field is used to record the latest possible date for the creation of the documented digital object.,"--> L11i --> D7[33] --> P4 --> E52[34] --> P81b --> xsd:dateTime<br><br>--> L11i --> D7[33] --> P2 --> E55 ""Creation""",Swiss Art Research Infrastructure
digital object_68_modification_date_-_early,Modification Date - Early,This field is used to record the earliest possible date for the modification of the documented digital object.,"--> L11i --> D7[35] --> P4 --> E52[36] --> P81a --> xsd:dateTime<br><br>--> L11i --> D7[35] --> P2 --> E55 ""Modification""",Swiss Art Research Infrastructure
digital object_69_modification_date_-_late,Modification Date - Late,This field is used to record the latest possible date for the modification of the documented digital object.,"--> L11i --> D7[35] --> P4 --> E52[36] --> P81b --> xsd:dateTime<br><br>--> L11i --> D7[35] --> P2 --> E55 ""Modification""",Swiss Art Research Infrastructure
