identifier,Model Specific Name,Description,CRM Path,used by
group_121_floruit_-_earliest_date,Floruit - Earliest date,This field is used to record the start date of the documented period of greatest activity/flourishing of the documented actor.,"--> P14i --> F51[14] --> P4 --> E52 --> P82a --> xsd:dateTime<br><br>--> P14i --> F51[14] --> P2 --> E55[""Floruit""]",Swiss Art Research Infrastructure
group_122_floruit_-_latest_date,Floruit - Latest date,This field is used to record the end date of the documented period of greatest activity/flourishing of the documented actor.,"--> P14i --> F51[14] --> P4 --> E52 --> P82b --> xsd:dateTime<br><br>--> P14i --> F51[14] --> P2 --> E55[""Floruit""]",Swiss Art Research Infrastructure
group_123_floruit_location,Floruit Location,This field is used to record the location of the period of greatest activity/flourishing of the documented actor.,"--> P14i --> F51[14] --> P7 --> E53<br><br>--> P14i --> F51[14] --> P2 --> E55[""Floruit""]",Swiss Art Research Infrastructure
group_124_field_of_activity,Field of Activity,This field is used to record a field of activity that the documented actor pursued during their existence/lifetime.,--> P14i --> F51[333] --> R59 --> E55,Swiss Art Research Infrastructure
group_125_period_of_activity_-_earliest,Period of Activity - Earliest,This field is used to record the earliest possible date for the period in which the documented actor pursued a field of activity during their existence/lifetime.,--> P14i --> F51[333] --> P4 --> E52[6] --> P82a --> xsd:dateTime,Swiss Art Research Infrastructure
group_126_period_of_activity_-_latest,Period of Activity - Latest,This field is used to record the latest possible date for the period in which the documented actor pursued a field of activity during their existence/lifetime.,--> P14i --> F51[333] --> P4 --> E52[6] --> P82b --> xsd:dateTime,Swiss Art Research Infrastructure
group_127_activity_location,Activity Location,This field is used to record the location at which the documented actor pursued a field of activity during their existence/lifetime.,"--> P14i --> F51[14] --> P7 --> E53<br><br>--> P14i --> F51[14] --> P2 --> E55[""Field of Activity""]",Swiss Art Research Infrastructure
group_120_event,Event,This field is used to record well known events in which the documented actor participated.,--> P11i --> E7[211],Swiss Art Research Infrastructure
