identifier,Model Specific Name,Description,CRM Path,used by
person_195_image,Image,This field is used to record a digital image which is representative of the documented object.,--> P138i --> E36/D9,Swiss Art Research Infrastructure
person_196_citation,Citation,This field is used to record a citation to reference documentation for the documented object.,"--> P129i --> E33[22] --> rdf:value --> rdf:Literal --> P129i --> E73[22] --> P2 --> E55 ""Citation""",Swiss Art Research Infrastructure
person_197_citation_source,Citation Source,This field is used to record the source used for generating the citation for the documented object.,--> P129i --> E33[22] --> P106i --> E33 [from BibliograPhy Entity Type],Swiss Art Research Infrastructure
person_198_biography,Biography,This field is used to record a short biographical free text about the documented person.,"--> P67i --> E73[15] --> P190 --> rdf:Literal<br><br>--> P67i --> E73[15] --> P2 --> E55 ""Biography""<br><br>--> P67i --> E73[15] --> P72 --> E56",Swiss Art Research Infrastructure
person_204_same_as,,The field is used to record the sameness between the entity described and an external authority,--> L54 --> E1,Swiss Art Research Infrastructure
